session_id,session_duration,pages_visited,avg_time_per_page,mouse_distance_avg,mouse_avg_speed,mouse_max_speed,mouse_idle_time,mouse_sharp_turns,mouse_straight_movements,avg_scroll_depth,avg_scroll_speed,total_scrolls,total_clicks,avg_time_between_clicks,avg_typing_speed,avg_shortcut_use,label
6d879d0d-6f18-40cb-aebc-ff473d21b4af,21.0,1.0,21.0,5828.50048828125,1202.6510009765625,3800.020263671875,0.0,289.0,24.0,4327.0,803.7939453125,345.0,0.0,,0.0,0.0,1
6db1b4f6-7e14-4d04-a3f1-25ef063acea2,15.0,1.0,15.0,75.58438873291016,2519.479736328125,2519.479736328125,0.0,1.0,0.0,4395.0,822.8228149414062,339.0,0.0,,0.0,0.0,1
6e8c9db5-b69e-4fc2-84fa-5beb20400fd3,6.0,1.0,6.0,229.8635711669922,1320.433349609375,2122.294189453125,0.0,9.0,2.0,313.0,63.84284973144531,313.0,0.0,,0.0,0.0,1
6eb113d6-cab6-407f-acf2-8d682ee9f2b0,17.0,1.0,16.0,1038.201904296875,776.5889282226562,3041.38134765625,0.0,64.0,10.0,2069.0,767.3637084960938,174.0,0.0,,0.0,0.0,1
6eb3a481-a54a-4118-81c0-51796c0e2240,7.0,1.0,7.0,631.4281616210938,900.324462890625,1400.0,0.0,34.0,4.0,6886.0,14637.205625000024,7.0,0.0,,0.0,0.0,1
6f3a313e-2b30-4d73-a955-47b46a6b9956,10.0,1.0,9.0,4981.65087890625,1761.27734375,8856.88671875,0.0,166.0,19.0,1779.0,784.3485717773438,145.0,0.0,,0.0,0.0,1
6f57c96e-a719-456d-bdf4-ad995191acf1,15.0,1.0,14.0,1067.6026611328125,924.0515747070312,1824.8287353515625,0.0,37.0,11.0,1023.0,765.2369995117188,87.0,0.0,,0.0,0.0,1
6f68f9d0-67c2-4351-bc84-5bfee2f5c0fb,12.0,1.0,12.0,5231.28173828125,1202.352294921875,3023.243408203125,0.0,227.0,30.0,1575.0,795.3275756835938,130.0,0.0,,0.0,0.0,1
6fbbe81a-e0bc-4dcd-846a-edd208705d88,14.0,1.0,13.0,255.2058563232422,1480.209716796875,3800.584716796875,0.0,8.0,4.0,2539.0,801.7789306640625,205.0,0.0,,0.0,0.0,1
6fdf8aae-9380-4232-b4e4-ab557728f16c,22.0,1.0,21.0,6134.04638671875,1232.6002197265625,3000.0,0.0,324.0,25.0,6797.0,1703.1641845703125,253.0,0.0,,0.0,0.0,1
6ff23686-83a8-47ff-828b-eca7c9d709f5,10.0,1.0,10.0,791.914306640625,1136.1309814453125,2001.11083984375,0.0,39.0,6.0,8602.0,2300.93701171875,236.0,0.0,,0.0,0.0,1
7008d909-95f8-4013-8ea1-3926f661e221,16.0,1.0,15.0,698.9736938476562,1186.03515625,2785.677734375,0.0,38.0,3.0,15465.0,3320.44677734375,293.0,0.0,,0.0,0.0,1
70b2a32e-f4b5-432b-adba-c959db1bd0ff,9.0,1.0,8.0,4095.287109375,1361.8331298828125,18788.294921875,0.0,201.0,22.0,305.0,92.42930603027344,212.0,0.0,,15.0,1.0,1
70c4ba6d-7cc7-4845-9908-850bb9527350,10.0,1.0,10.0,1287.489990234375,758.2069702148438,3023.243408203125,0.0,90.0,8.0,2304.0,783.2024536132812,187.0,0.0,,0.0,0.0,1
70ef1034-eed1-4615-9e9c-f7ccf4dd3631,17.0,1.0,16.0,4810.43408203125,702.0905151367188,4472.1357421875,0.0,441.0,36.0,16380.0,8496.884765625,116.0,0.0,,0.0,0.0,1
7112ea0b-3501-43c5-932b-b03cf27233f8,12.0,1.0,12.0,933.6546020507812,1152.704833984375,2307.60791015625,0.0,50.0,4.0,2744.0,794.126220703125,222.0,0.0,,0.0,0.0,1
71511c16-c0e0-4123-87c7-23ec5b7d04a9,15.0,1.0,14.0,7174.49755859375,1792.7239990234375,27166.15625,0.0,260.0,29.0,289.0,64.15682983398438,289.0,0.0,,13.0,1.0,1
71ed5fcf-36a9-4122-b4e5-68c3922be704,18.0,1.0,17.0,1572.2578125,977.4954833984376,3000.0,0.0,93.0,11.0,2603.0,761.62451171875,218.0,0.0,,0.0,0.0,1
728c1f4c-e91b-440a-b047-266931ba99bc,12.0,1.0,12.0,1820.2208251953125,1110.74951171875,2320.068115234375,0.0,86.0,11.0,284.0,90.9970932006836,201.0,0.0,,0.0,0.0,1
72b03ba0-ba2a-480e-9f9a-f9fc3cfcff03,7.0,1.0,7.0,2485.404541015625,1044.5538330078125,3506.184326171875,0.0,136.0,17.0,1282.0,789.931640625,104.0,0.0,,0.0,0.0,1
739fb3f3-5320-437e-855f-27f05c8399b5,10.0,1.0,10.0,1351.3902587890625,1401.252197265625,2370.65380859375,0.0,49.0,4.0,14690.0,3111.087646484375,298.0,0.0,,0.0,0.0,1
73f7252d-9a34-4044-9d7f-0bbe78674e7a,10.0,1.0,9.0,6529.41357421875,1627.8555908203125,4031.12890625,0.0,254.0,24.0,278.0,64.88639068603516,278.0,0.0,,0.0,0.0,1
746a01b5-a59a-410a-b2f0-6fc238cef324,4.0,1.0,3.0,97.331787109375,5409.45974609375,26925.82421875,0.0,1.0,0.0,390.0,182.71954345703125,136.0,1.0,,0.0,0.0,1
748d574d-d8a9-4bbd-ae1f-1754e24c77d5,15.0,1.0,14.0,2370.006591796875,818.625244140625,2506.934814453125,0.0,134.0,11.0,358.0,64.60369110107422,358.0,0.0,,0.0,0.0,1
74e856a3-a066-46fe-abfd-82d4cbca138e,10.0,1.0,9.0,481.2186584472656,512.98193359375,1267.2421875,0.0,55.0,6.0,11862.0,2858.83203125,263.0,0.0,,0.0,0.0,1
7524773e-f3b0-4ef0-abf6-af8556aef7a4,9.0,1.0,8.0,2044.010009765625,990.4241333007812,3650.640625,0.0,120.0,11.0,11004.0,4292.349609375,161.0,0.0,,0.0,0.0,1
